region,countrycode,countryname,characteristic,incomegroup,year,share_b40,share_t60
LAC,CRI,Costa Rica,EDU:     primary,Upper-middle income,2018,0.5562539,0.4437461
LAC,CRI,Costa Rica,EDU:   secondary,Upper-middle income,2018,0.3837926,0.6162074
LAC,CRI,Costa Rica,RUR:       rural,Upper-middle income,2018,0.5500209,0.4499792
LAC,CRI,Costa Rica,AGE:     15 - 64,Upper-middle income,2018,0.3603888,0.6396111
ECA,CYP,Cyprus,RUR:       urban,High income,2017,0.3852539,0.6147462
ECA,CYP,Cyprus,AGE:    above 64,High income,2017,0.3915266,0.6084734
ECA,CYP,Cyprus,GEN:      female,High income,2017,0.4039303,0.5960698
ECA,CYP,Cyprus,EDU:   secondary,High income,2017,0.4251265,0.5748735
ECA,CYP,Cyprus,RUR:       rural,High income,2017,0.4681596,0.5318404
ECA,CYP,Cyprus,EDU: no eduation,High income,2017,0.6114696,0.3885304
ECA,CYP,Cyprus,GEN:        male,High income,2017,0.3958423,0.6041577
ECA,CYP,Cyprus,EDU:     teriary,High income,2017,0.1941806,0.8058194
ECA,CYP,Cyprus,AGE:      0 - 14,High income,2017,0.5610294,0.4389705
ECA,CYP,Cyprus,EDU:     primary,High income,2017,0.5280947,0.4719053
ECA,CYP,Cyprus,AGE:     15 - 64,High income,2017,0.3646661,0.6353339
ECA,CZE,Czech Republic,AGE:    above 64,High income,2017,0.4132937,0.5867063
ECA,CZE,Czech Republic,RUR:       urban,High income,2017,0.3773161,0.6226838
ECA,CZE,Czech Republic,RUR:       rural,High income,2017,0.4395058,0.5604942
ECA,CZE,Czech Republic,EDU:     teriary,High income,2017,0.2062168,0.7937832
ECA,CZE,Czech Republic,EDU: no eduation,High income,2017,,
ECA,CZE,Czech Republic,GEN:      female,High income,2017,0.4170928,0.5829073
ECA,CZE,Czech Republic,AGE:      0 - 14,High income,2017,0.6000041,0.399996
ECA,CZE,Czech Republic,EDU:   secondary,High income,2017,0.3969091,0.6030909
ECA,CZE,Czech Republic,AGE:     15 - 64,High income,2017,0.3474733,0.6525267
ECA,CZE,Czech Republic,GEN:        male,High income,2017,0.3818009,0.6181992
ECA,CZE,Czech Republic,EDU:     primary,High income,2017,,
MNA,DJI,Djibouti,RUR:       urban,Lower-middle income,2017,0.3224012,0.6775988
MNA,DJI,Djibouti,EDU: no eduation,Lower-middle income,2017,0.4828078,0.5171922
MNA,DJI,Djibouti,EDU:     primary,Lower-middle income,2017,0.3371122,0.6628878
MNA,DJI,Djibouti,AGE:    above 64,Lower-middle income,2017,,
MNA,DJI,Djibouti,EDU:   secondary,Lower-middle income,2017,0.277434,0.7225659
MNA,DJI,Djibouti,AGE:      0 - 14,Lower-middle income,2017,0.4598187,0.5401813
MNA,DJI,Djibouti,GEN:        male,Lower-middle income,2017,0.4040647,0.5959353
MNA,DJI,Djibouti,AGE:     15 - 64,Lower-middle income,2017,0.3654895,0.6345105
MNA,DJI,Djibouti,RUR:       rural,Lower-middle income,2017,0.8329998,0.1670002
MNA,DJI,Djibouti,GEN:      female,Lower-middle income,2017,0.3960084,0.6039916
MNA,DJI,Djibouti,EDU:     teriary,Lower-middle income,2017,0.1183945,0.8816055
ECA,DNK,Denmark,AGE:     15 - 64,High income,2017,0.3725756,0.6274244
ECA,DNK,Denmark,GEN:      female,High income,2017,0.3995955,0.6004045
ECA,DNK,Denmark,RUR:       rural,High income,2017,0.4269875,0.5730125
ECA,DNK,Denmark,EDU:     teriary,High income,2017,0.2793396,0.7206603
ECA,DNK,Denmark,GEN:        male,High income,2017,0.3975785,0.6024215
ECA,DNK,Denmark,RUR:       urban,High income,2017,0.38438,0.61562
ECA,DNK,Denmark,EDU:     primary,High income,2017,0.434534,0.565466
ECA,DNK,Denmark,AGE:    above 64,High income,2017,0.303967,0.696033
ECA,DNK,Denmark,EDU:   secondary,High income,2017,0.383396,0.616604
ECA,DNK,Denmark,AGE:      0 - 14,High income,2017,0.6259665,0.3740335
ECA,DNK,Denmark,EDU: no eduation,High income,2017,,
LAC,DOM,Dominican Republic,GEN:      female,Upper-middle income,2018,0.4192268,0.5807732
LAC,DOM,Dominican Republic,GEN:        male,Upper-middle income,2018,0.3801371,0.6198629
LAC,DOM,Dominican Republic,RUR:       rural,Upper-middle income,2018,0.4324882,0.5675118
LAC,DOM,Dominican Republic,EDU:     primary,Upper-middle income,2018,0.3848386,0.6151614
LAC,DOM,Dominican Republic,EDU:     teriary,Upper-middle income,2018,0.1652069,0.8347931
LAC,DOM,Dominican Republic,RUR:       urban,Upper-middle income,2018,0.3924098,0.6075903
LAC,DOM,Dominican Republic,EDU: no eduation,Upper-middle income,2018,0.4756232,0.5243768
LAC,DOM,Dominican Republic,AGE:     15 - 64,Upper-middle income,2018,0.3485459,0.6514541
LAC,DOM,Dominican Republic,AGE:      0 - 14,Upper-middle income,2018,0.5691687,0.4308313
LAC,DOM,Dominican Republic,EDU:   secondary,Upper-middle income,2018,0.3746732,0.6253268
LAC,DOM,Dominican Republic,AGE:    above 64,Upper-middle income,2018,0.2834045,0.7165955
LAC,ECU,Ecuador,AGE:      0 - 14,Upper-middle income,2018,0.541091,0.4589091
LAC,ECU,Ecuador,EDU:     primary,Upper-middle income,2018,0.4779966,0.5220034
LAC,ECU,Ecuador,AGE:    above 64,Upper-middle income,2018,0.2368425,0.7631575
LAC,ECU,Ecuador,RUR:       urban,Upper-middle income,2018,0.3242685,0.6757315
LAC,ECU,Ecuador,EDU: no eduation,Upper-middle income,2018,0.4852467,0.5147533
LAC,ECU,Ecuador,RUR:       rural,Upper-middle income,2018,0.5615457,0.4384543
LAC,ECU,Ecuador,EDU:     teriary,Upper-middle income,2018,0.114934,0.885066
LAC,ECU,Ecuador,AGE:     15 - 64,Upper-middle income,2018,0.3575291,0.6424708
LAC,ECU,Ecuador,GEN:      female,Upper-middle income,2018,0.4044335,0.5955665
LAC,ECU,Ecuador,EDU:   secondary,Upper-middle income,2018,0.3744935,0.6255065
LAC,ECU,Ecuador,GEN:        male,Upper-middle income,2018,0.3953455,0.6046544
MNA,EGY,"Egypt, Arab Rep.",RUR:       urban,Lower-middle income,2017,0.3085746,0.6914254
MNA,EGY,"Egypt, Arab Rep.",EDU:   secondary,Lower-middle income,2017,0.3663509,0.6336492
MNA,EGY,"Egypt, Arab Rep.",AGE:      0 - 14,Lower-middle income,2017,0.5386747,0.4613253
MNA,EGY,"Egypt, Arab Rep.",EDU: no eduation,Lower-middle income,2017,0.4159457,0.5840543
MNA,EGY,"Egypt, Arab Rep.",EDU:     teriary,Lower-middle income,2017,0.1635667,0.8364333
MNA,EGY,"Egypt, Arab Rep.",AGE:    above 64,Lower-middle income,2017,0.1942778,0.8057222
MNA,EGY,"Egypt, Arab Rep.",RUR:       rural,Lower-middle income,2017,0.4678589,0.532141
MNA,EGY,"Egypt, Arab Rep.",GEN:        male,Lower-middle income,2017,0.3958077,0.6041923
MNA,EGY,"Egypt, Arab Rep.",AGE:     15 - 64,Lower-middle income,2017,0.3501325,0.6498675
MNA,EGY,"Egypt, Arab Rep.",GEN:      female,Lower-middle income,2017,0.4042408,0.5957592
MNA,EGY,"Egypt, Arab Rep.",EDU:     primary,Lower-middle income,2017,0.3788033,0.6211967
ECA,ESP,Spain,RUR:       rural,High income,2017,0.4878989,0.5121011
ECA,ESP,Spain,AGE:      0 - 14,High income,2017,0.5489848,0.4510153
ECA,ESP,Spain,EDU:     teriary,High income,2017,0.2007077,0.7992923
ECA,ESP,Spain,EDU:     primary,High income,2017,0.4079886,0.5920114
ECA,ESP,Spain,EDU: no eduation,High income,2017,0.4753321,0.5246679
ECA,ESP,Spain,EDU:   secondary,High income,2017,0.4478275,0.5521724
ECA,ESP,Spain,RUR:       urban,High income,2017,0.3681455,0.6318545
ECA,ESP,Spain,GEN:        male,High income,2017,0.3971298,0.6028702
ECA,ESP,Spain,AGE:    above 64,High income,2017,0.257725,0.742275
ECA,ESP,Spain,GEN:      female,High income,2017,0.4010465,0.5989535
ECA,ESP,Spain,AGE:     15 - 64,High income,2017,0.4095497,0.5904503
ECA,EST,Estonia,RUR:       rural,High income,2017,0.4884242,0.5115758
ECA,EST,Estonia,GEN:        male,High income,2017,0.3805758,0.6194242
ECA,EST,Estonia,EDU: no eduation,High income,2017,,
ECA,EST,Estonia,AGE:     15 - 64,High income,2017,0.3192202,0.6807798
ECA,EST,Estonia,EDU:   secondary,High income,2017,0.4749686,0.5250314
ECA,EST,Estonia,AGE:    above 64,High income,2017,0.6105104,0.3894896
ECA,EST,Estonia,AGE:      0 - 14,High income,2017,0.4538138,0.5461861
ECA,EST,Estonia,EDU:     teriary,High income,2017,0.2666734,0.7333266
ECA,EST,Estonia,EDU:     primary,High income,2017,0.7117168,0.2882832
ECA,EST,Estonia,GEN:      female,High income,2017,0.4158034,0.5841966
ECA,EST,Estonia,RUR:       urban,High income,2017,0.3576814,0.6423186
SSA,ETH,Ethiopia,AGE:    above 64,Low income,2015,0.310946,0.68905400000000006
SSA,ETH,Ethiopia,AGE:     15 - 64,Low income,2015,0.3581218,0.6418781
SSA,ETH,Ethiopia,EDU:     primary,Low income,2015,0.3384269,0.6615731
SSA,ETH,Ethiopia,EDU:   secondary,Low income,2015,0.1825579,0.8174421
SSA,ETH,Ethiopia,RUR:       urban,Low income,2015,0.1818899,0.8181101
SSA,ETH,Ethiopia,GEN:        male,Low income,2015,0.407859,0.592141
SSA,ETH,Ethiopia,AGE:      0 - 14,Low income,2015,0.4558552,0.5441448
SSA,ETH,Ethiopia,EDU: no eduation,Low income,2015,0.4236582,0.5763419
SSA,ETH,Ethiopia,EDU:     teriary,Low income,2015,0.0681781,0.9318219
SSA,ETH,Ethiopia,RUR:       rural,Low income,2015,0.45143,0.54857
SSA,ETH,Ethiopia,GEN:      female,Low income,2015,0.391667,0.608333
ECA,FIN,Finland,EDU: no eduation,High income,2017,,
ECA,FIN,Finland,RUR:       rural,High income,2017,0.4420761,0.5579239
ECA,FIN,Finland,EDU:   secondary,High income,2017,0.4048787,0.5951213
ECA,FIN,Finland,AGE:    above 64,High income,2017,0.3055438,0.6944562
ECA,FIN,Finland,GEN:        male,High income,2017,0.3988509,0.6011491
ECA,FIN,Finland,AGE:     15 - 64,High income,2017,0.369541,0.630459
ECA,FIN,Finland,AGE:      0 - 14,High income,2017,0.6665379,0.3334621
ECA,FIN,Finland,RUR:       urban,High income,2017,0.3830391,0.6169609
ECA,FIN,Finland,EDU:     primary,High income,2017,,
ECA,FIN,Finland,GEN:      female,High income,2017,0.4010015,0.5989985
ECA,FIN,Finland,EDU:     teriary,High income,2017,0.2062371,0.7937629
EAP,FJI,Fiji,AGE:     15 - 64,Upper-middle income,2013,0.3521155,0.6478845
EAP,FJI,Fiji,AGE:      0 - 14,Upper-middle income,2013,0.5207387,0.4792613
EAP,FJI,Fiji,EDU:     teriary,Upper-middle income,2013,0.1128295,0.8871706
EAP,FJI,Fiji,EDU:   secondary,Upper-middle income,2013,0.3553725,0.6446275
EAP,FJI,Fiji,GEN:        male,Upper-middle income,2013,0.3996584,0.6003416
EAP,FJI,Fiji,AGE:    above 64,Upper-middle income,2013,0.3348988,0.6651012
EAP,FJI,Fiji,EDU: no eduation,Upper-middle income,2013,0.3816911,0.6183089
EAP,FJI,Fiji,RUR:       rural,Upper-middle income,2013,0.46685,0.53315
EAP,FJI,Fiji,GEN:      female,Upper-middle income,2013,0.3996735,0.6003265
EAP,FJI,Fiji,EDU:     primary,Upper-middle income,2013,0.4299072,0.5700928
EAP,FJI,Fiji,RUR:       urban,Upper-middle income,2013,0.3349838,0.6650162
ECA,FRA,France,GEN:        male,High income,2017,0.4025329,0.5974671
ECA,FRA,France,RUR:       rural,High income,2017,0.4179859,0.5820141
ECA,FRA,France,EDU:     teriary,High income,2017,0.2158906,0.7841094
ECA,FRA,France,EDU:   secondary,High income,2017,0.3816025,0.6183975
ECA,FRA,France,AGE:     15 - 64,High income,2017,0.3960891,0.6039109
ECA,FRA,France,EDU:     primary,High income,2017,0.3545443,0.6454558
ECA,FRA,France,GEN:      female,High income,2017,0.3968832,0.6031168
ECA,FRA,France,RUR:       urban,High income,2017,0.3904035,0.6095965
ECA,FRA,France,EDU: no eduation,High income,2017,0.4833421,0.5166579
ECA,FRA,France,AGE:      0 - 14,High income,2017,0.6743351,0.3256649
ECA,FRA,France,AGE:    above 64,High income,2017,0.1920637,0.8079363
EAP,FSM,"Micronesia, Fed. Sts.",AGE:     15 - 64,Lower-middle income,2013,0.3770826,0.6229174
EAP,FSM,"Micronesia, Fed. Sts.",EDU: no eduation,Lower-middle income,2013,0.3900286,0.6099715
EAP,FSM,"Micronesia, Fed. Sts.",EDU:     primary,Lower-middle income,2013,0.4318663,0.5681337
EAP,FSM,"Micronesia, Fed. Sts.",EDU:   secondary,Lower-middle income,2013,0.283196,0.716804
EAP,FSM,"Micronesia, Fed. Sts.",AGE:    above 64,Lower-middle income,2013,0.4094256,0.5905744
EAP,FSM,"Micronesia, Fed. Sts.",EDU:     teriary,Lower-middle income,2013,,0.9304278
EAP,FSM,"Micronesia, Fed. Sts.",RUR:       rural,Lower-middle income,2013,,
EAP,FSM,"Micronesia, Fed. Sts.",GEN:      female,Lower-middle income,2013,0.395147,0.604853
EAP,FSM,"Micronesia, Fed. Sts.",GEN:        male,Lower-middle income,2013,0.4047379,0.5952622
EAP,FSM,"Micronesia, Fed. Sts.",RUR:       urban,Lower-middle income,2013,,
EAP,FSM,"Micronesia, Fed. Sts.",AGE:      0 - 14,Lower-middle income,2013,0.4401342,0.5598658
SSA,GAB,Gabon,GEN:      female,Upper-middle income,2017,0.4147913,0.5852088
SSA,GAB,Gabon,EDU:   secondary,Upper-middle income,2017,0.3241943,0.6758057
SSA,GAB,Gabon,AGE:      0 - 14,Upper-middle income,2017,0.4961231,0.5038769
SSA,GAB,Gabon,EDU:     primary,Upper-middle income,2017,0.4861061,0.5138939
SSA,GAB,Gabon,GEN:        male,Upper-middle income,2017,0.3839987,0.6160014
SSA,GAB,Gabon,AGE:     15 - 64,Upper-middle income,2017,0.3361658,0.6638342
SSA,GAB,Gabon,AGE:    above 64,Upper-middle income,2017,0.4325137,0.5674863
SSA,GAB,Gabon,EDU: no eduation,Upper-middle income,2017,0.4148976,0.5851024
SSA,GAB,Gabon,RUR:       rural,Upper-middle income,2017,0.548835,0.451165
SSA,GAB,Gabon,RUR:       urban,Upper-middle income,2017,0.3683291,0.6316709
SSA,GAB,Gabon,EDU:     teriary,Upper-middle income,2017,0.0984543,0.9015457
ECA,GBR,United Kingdom,RUR:       rural,High income,2016,0.3543472,0.6456528
ECA,GBR,United Kingdom,EDU: no eduation,High income,2016,1,0
ECA,GBR,United Kingdom,EDU:     primary,High income,2016,,
ECA,GBR,United Kingdom,EDU:   secondary,High income,2016,0.4371953,0.5628047
ECA,GBR,United Kingdom,RUR:       urban,High income,2016,0.4051352,0.5948647
ECA,GBR,United Kingdom,AGE:     15 - 64,High income,2016,0.3695581,0.630442
ECA,GBR,United Kingdom,AGE:      0 - 14,High income,2016,0.6316412,0.3683588
ECA,GBR,United Kingdom,EDU:     teriary,High income,2016,0.235843,0.7641571
ECA,GBR,United Kingdom,GEN:      female,High income,2016,0.4087434,0.5912567
ECA,GBR,United Kingdom,GEN:        male,High income,2016,0.3880608,0.6119392
ECA,GBR,United Kingdom,AGE:    above 64,High income,2016,0.2754988,0.7245013
ECA,GEO,Georgia,EDU: no eduation,Upper-middle income,2018,0.6005341,0.3994659
ECA,GEO,Georgia,AGE:      0 - 14,Upper-middle income,2018,0.5060493,0.4939507
ECA,GEO,Georgia,RUR:       urban,Upper-middle income,2018,0.350364,0.649636
ECA,GEO,Georgia,GEN:        male,Upper-middle income,2018,0.3978607,0.6021393
ECA,GEO,Georgia,RUR:       rural,Upper-middle income,2018,0.4717815,0.5282185
ECA,GEO,Georgia,GEN:      female,Upper-middle income,2018,0.4019329,0.5980671
ECA,GEO,Georgia,EDU:     primary,Upper-middle income,2018,0.4311864,0.5688136
ECA,GEO,Georgia,AGE:     15 - 64,Upper-middle income,2018,0.3883716,0.6116284
ECA,GEO,Georgia,EDU:   secondary,Upper-middle income,2018,0.4288467,0.5711533
ECA,GEO,Georgia,EDU:     teriary,Upper-middle income,2018,0.2319884,0.7680116
ECA,GEO,Georgia,AGE:    above 64,Upper-middle income,2018,0.3133682,0.6866317
SSA,GHA,Ghana,GEN:        male,Lower-middle income,2016,0.3972122,0.6027878
SSA,GHA,Ghana,AGE:      0 - 14,Lower-middle income,2016,0.4835158,0.5164842
SSA,GHA,Ghana,GEN:      female,Lower-middle income,2016,0.4025987,0.5974013
SSA,GHA,Ghana,AGE:     15 - 64,Lower-middle income,2016,0.3436561,0.6563439
SSA,GHA,Ghana,AGE:    above 64,Lower-middle income,2016,0.4051618,0.5948382
SSA,GHA,Ghana,EDU:     primary,Lower-middle income,2016,0.4550019,0.5449982
SSA,GHA,Ghana,EDU:     teriary,Lower-middle income,2016,0.0770679,0.9229321
SSA,GHA,Ghana,EDU: no eduation,Lower-middle income,2016,0.6093162,0.3906838
SSA,GHA,Ghana,RUR:       rural,Lower-middle income,2016,0.6064172,0.3935828
SSA,GHA,Ghana,EDU:   secondary,Lower-middle income,2016,0.2660973,0.7339027
SSA,GHA,Ghana,RUR:       urban,Lower-middle income,2016,0.1993945,0.8006055
SSA,GIN,Guinea,AGE:      0 - 14,Low income,2012,0.4477858,0.5522142
SSA,GIN,Guinea,EDU: no eduation,Low income,2012,0.425766,0.574234
SSA,GIN,Guinea,EDU:     teriary,Low income,2012,0.0722058,0.9277942
SSA,GIN,Guinea,RUR:       urban,Low income,2012,0.1563847,0.8436152
SSA,GIN,Guinea,EDU:     primary,Low income,2012,0.3423915,0.6576085
SSA,GIN,Guinea,GEN:      female,Low income,2012,0.4030395,0.5969605
SSA,GIN,Guinea,GEN:        male,Low income,2012,0.3967095,0.6032905
SSA,GIN,Guinea,AGE:    above 64,Low income,2012,0.3982643,0.6017357
SSA,GIN,Guinea,EDU:   secondary,Low income,2012,0.1992936,0.8007064
SSA,GIN,Guinea,AGE:     15 - 64,Low income,2012,0.3591176,0.6408824
SSA,GIN,Guinea,RUR:       rural,Low income,2012,0.5161133,0.4838867
SSA,GMB,"Gambia, The",AGE:      0 - 14,Low income,2015,0.4561797,0.5438203
SSA,GMB,"Gambia, The",GEN:        male,Low income,2015,0.4038112,0.5961888
SSA,GMB,"Gambia, The",GEN:      female,Low income,2015,0.3965352,0.6034647
SSA,GMB,"Gambia, The",AGE:     15 - 64,Low income,2015,0.3530707,0.6469293
SSA,GMB,"Gambia, The",RUR:       urban,Low income,2015,0.227082,0.772918
SSA,GMB,"Gambia, The",EDU:     primary,Low income,2015,0.3332193,0.6667807
SSA,GMB,"Gambia, The",RUR:       rural,Low income,2015,0.6112747,0.3887253
SSA,GMB,"Gambia, The",EDU:     teriary,Low income,2015,0.0858786,0.9141214
SSA,GMB,"Gambia, The",EDU: no eduation,Low income,2015,0.4588599,0.5411401
SSA,GMB,"Gambia, The",AGE:    above 64,Low income,2015,0.42181,0.57819
SSA,GMB,"Gambia, The",EDU:   secondary,Low income,2015,0.2520258,0.7479742
SSA,GNB,Guinea-Bissau,AGE:     15 - 64,Low income,2010,0.3708767,0.6291233
SSA,GNB,Guinea-Bissau,AGE:    above 64,Low income,2010,0.3996412,0.6003588
SSA,GNB,Guinea-Bissau,EDU:   secondary,Low income,2010,0.2092227,0.7907773
SSA,GNB,Guinea-Bissau,GEN:        male,Low income,2010,0.3987272,0.6012728
SSA,GNB,Guinea-Bissau,EDU: no eduation,Low income,2010,0.4545532,0.5454468
SSA,GNB,Guinea-Bissau,RUR:       urban,Low income,2010,0.2328386,0.7671614
SSA,GNB,Guinea-Bissau,RUR:       rural,Low income,2010,0.5083135,0.4916866
SSA,GNB,Guinea-Bissau,EDU:     teriary,Low income,2010,,0.8906909
SSA,GNB,Guinea-Bissau,AGE:      0 - 14,Low income,2010,0.4372087,0.5627913
SSA,GNB,Guinea-Bissau,EDU:     primary,Low income,2010,0.36716530000000003,0.6328347
SSA,GNB,Guinea-Bissau,GEN:      female,Low income,2010,0.4011914,0.5988086
ECA,GRC,Greece,AGE:      0 - 14,High income,2017,0.5867664,0.4132336
ECA,GRC,Greece,RUR:       urban,High income,2017,0.3642702,0.6357298
ECA,GRC,Greece,AGE:    above 64,High income,2017,0.2333199,0.7666801
ECA,GRC,Greece,EDU:   secondary,High income,2017,0.434925,0.5650749
ECA,GRC,Greece,AGE:     15 - 64,High income,2017,0.4179831,0.5820169
ECA,GRC,Greece,RUR:       rural,High income,2017,0.4812418,0.5187582
ECA,GRC,Greece,EDU:     primary,High income,2017,0.3885159,0.6114841
ECA,GRC,Greece,EDU:     teriary,High income,2017,0.238328,0.761672
ECA,GRC,Greece,GEN:      female,High income,2017,0.3937179,0.6062821
ECA,GRC,Greece,GEN:        male,High income,2017,0.4039221,0.5960779
ECA,GRC,Greece,EDU: no eduation,High income,2017,0.3606095,0.6393905
LAC,GTM,Guatemala,AGE:    above 64,Upper-middle income,2014,0.3254302,0.6745698
LAC,GTM,Guatemala,RUR:       rural,Upper-middle income,2014,0.5415668,0.4584331
LAC,GTM,Guatemala,EDU: no eduation,Upper-middle income,2014,0.5305654,0.4694346
LAC,GTM,Guatemala,AGE:     15 - 64,Upper-middle income,2014,0.3476031,0.6523969
LAC,GTM,Guatemala,GEN:        male,Upper-middle income,2014,0.3987679,0.6012321
LAC,GTM,Guatemala,EDU:     primary,Upper-middle income,2014,0.4352369,0.5647631
LAC,GTM,Guatemala,AGE:      0 - 14,Upper-middle income,2014,0.4974809,0.5025191
LAC,GTM,Guatemala,GEN:      female,Upper-middle income,2014,0.4011396,0.5988604
LAC,GTM,Guatemala,EDU:   secondary,Upper-middle income,2014,0.2361976,0.7638025
LAC,GTM,Guatemala,EDU:     teriary,Upper-middle income,2014,0.0334455,0.9665545
LAC,GTM,Guatemala,RUR:       urban,Upper-middle income,2014,0.2554639,0.7445362
LAC,HND,Honduras,EDU:     primary,Lower-middle income,2018,0.510278,0.489722
LAC,HND,Honduras,AGE:     15 - 64,Lower-middle income,2018,0.3569562,0.6430438
LAC,HND,Honduras,EDU:     teriary,Lower-middle income,2018,0.0743151,0.9256849
LAC,HND,Honduras,EDU:   secondary,Lower-middle income,2018,0.3010935,0.6989065
LAC,HND,Honduras,GEN:        male,Lower-middle income,2018,0.4049304,0.5950696
LAC,HND,Honduras,EDU: no eduation,Lower-middle income,2018,0.5770757,0.4229243
LAC,HND,Honduras,RUR:       rural,Lower-middle income,2018,0.6307654,0.3692346
LAC,HND,Honduras,RUR:       urban,Lower-middle income,2018,0.2068679,0.7931321
LAC,HND,Honduras,GEN:      female,Lower-middle income,2018,0.3953081,0.6046919
LAC,HND,Honduras,AGE:    above 64,Lower-middle income,2018,0.3397177,0.6602823
LAC,HND,Honduras,AGE:      0 - 14,Lower-middle income,2018,0.500898,0.499102
ECA,HRV,Croatia,RUR:       rural,High income,2017,0.5159394,0.4840606
ECA,HRV,Croatia,EDU:     primary,High income,2017,0.6561275,0.3438726
ECA,HRV,Croatia,AGE:    above 64,High income,2017,0.3999457,0.6000543
ECA,HRV,Croatia,RUR:       urban,High income,2017,0.3273919,0.6726081
ECA,HRV,Croatia,GEN:        male,High income,2017,0.3930023,0.6069977
ECA,HRV,Croatia,EDU:   secondary,High income,2017,0.4166221,0.5833778
ECA,HRV,Croatia,AGE:      0 - 14,High income,2017,0.5350117,0.4649883
ECA,HRV,Croatia,EDU:     teriary,High income,2017,0.1202273,0.8797727
ECA,HRV,Croatia,AGE:     15 - 64,High income,2017,0.3714043,0.6285957
ECA,HRV,Croatia,GEN:      female,High income,2017,0.4062666,0.5937334
ECA,HRV,Croatia,EDU: no eduation,High income,2017,0.7283082,0.2716918
LAC,HTI,Haiti,EDU:     primary,Low income,2012,0.4134585,0.5865415
LAC,HTI,Haiti,RUR:       rural,Low income,2012,0.5840577,0.4159423
LAC,HTI,Haiti,GEN:      female,Low income,2012,0.3921078,0.6078922
LAC,HTI,Haiti,AGE:      0 - 14,Low income,2012,0.4791777,0.5208223
LAC,HTI,Haiti,EDU:     teriary,Low income,2012,,0.9410267
LAC,HTI,Haiti,RUR:       urban,Low income,2012,0.1980442,0.8019558
LAC,HTI,Haiti,AGE:    above 64,Low income,2012,0.3863025,0.6136975
LAC,HTI,Haiti,EDU: no eduation,Low income,2012,0.5316556,0.4683445
LAC,HTI,Haiti,EDU:   secondary,Low income,2012,0.2606177,0.7393823
LAC,HTI,Haiti,AGE:     15 - 64,Low income,2012,0.3536949,0.6463051
LAC,HTI,Haiti,GEN:        male,Low income,2012,0.4082357,0.5917643
ECA,HUN,Hungary,AGE:    above 64,High income,2017,0.2275231,0.7724769
ECA,HUN,Hungary,RUR:       rural,High income,2017,0.5058035,0.4941965
ECA,HUN,Hungary,GEN:        male,High income,2017,0.3992484,0.6007516
ECA,HUN,Hungary,RUR:       urban,High income,2017,0.3473602,0.6526398
ECA,HUN,Hungary,EDU:   secondary,High income,2017,0.3949666,0.6050334
ECA,HUN,Hungary,EDU:     teriary,High income,2017,0.2013098,0.7986902
ECA,HUN,Hungary,GEN:      female,High income,2017,0.3999628,0.6000372
ECA,HUN,Hungary,AGE:      0 - 14,High income,2017,0.6474988,0.3525012
ECA,HUN,Hungary,AGE:     15 - 64,High income,2017,0.4018268,0.5981732
ECA,HUN,Hungary,EDU:     primary,High income,2017,0.6199144,0.3800856
ECA,HUN,Hungary,EDU: no eduation,High income,2017,0.7383959,
EAP,IDN,Indonesia,AGE:      0 - 14,Lower-middle income,2016,0.4607666,0.5392334
EAP,IDN,Indonesia,EDU:     primary,Lower-middle income,2016,0.4692608,0.5307392
EAP,IDN,Indonesia,GEN:        male,Lower-middle income,2016,0.3952501,0.6047499
EAP,IDN,Indonesia,EDU:   secondary,Lower-middle income,2016,0.3153891,0.6846109
EAP,IDN,Indonesia,EDU:     teriary,Lower-middle income,2016,0.1092606,0.8907394
EAP,IDN,Indonesia,AGE:    above 64,Lower-middle income,2016,0.471738,0.528262
EAP,IDN,Indonesia,RUR:       rural,Lower-middle income,2016,0.4532309,0.5467691
EAP,IDN,Indonesia,RUR:       urban,Lower-middle income,2016,0.3497282,0.6502718
EAP,IDN,Indonesia,EDU: no eduation,Lower-middle income,2016,0.5779889,0.4220111
EAP,IDN,Indonesia,AGE:     15 - 64,Lower-middle income,2016,0.3691337,0.6308663
EAP,IDN,Indonesia,GEN:      female,Lower-middle income,2016,0.4047845,0.5952154
SAR,IND,India,RUR:       rural,Lower-middle income,2011,0.4569837,0.5430164
SAR,IND,India,AGE:     15 - 64,Lower-middle income,2011,0.3624923,0.6375077
SAR,IND,India,RUR:       urban,Lower-middle income,2011,0.2575427,0.7424573
SAR,IND,India,AGE:    above 64,Lower-middle income,2011,0.3465775,0.6534225
SAR,IND,India,AGE:      0 - 14,Lower-middle income,2011,0.4920308,0.5079692
SAR,IND,India,EDU:   secondary,Lower-middle income,2011,0.2756606,0.7243394
SAR,IND,India,GEN:      female,Lower-middle income,2011,0.4074963,0.5925037
SAR,IND,India,EDU:     teriary,Lower-middle income,2011,0.0884139,0.9115861
SAR,IND,India,GEN:        male,Lower-middle income,2011,0.3930054,0.6069946
SAR,IND,India,EDU: no eduation,Lower-middle income,2011,0.5056996,0.4943003
SAR,IND,India,EDU:     primary,Lower-middle income,2011,0.4225229,0.5774772
ECA,IRL,Ireland,GEN:        male,High income,2016,0.391822,0.608178
ECA,IRL,Ireland,AGE:    above 64,High income,2016,0.2237687,0.7762313
ECA,IRL,Ireland,RUR:       rural,High income,2016,0.3923876,0.6076124
ECA,IRL,Ireland,AGE:      0 - 14,High income,2016,0.5445421,0.4554579
