countrycode,year,percentile_value,coverage,percentile,datatype,decile_within_percentile,countryname,region
GRC,1991,22.81814,N,60,income,9,Greece,OHI
IRL,1991,22.93145,N,60,income,9,Ireland,OHI
ESP,1991,25.73433,N,60,income,9,Spain,OHI
GBR,1991,29.64932,N,60,income,9,United Kingdom,OHI
SWE,1991,31.8438,N,60,income,9,Sweden,OHI
ITA,1991,32.91103,N,60,income,9,Italy,OHI
JPN,1991,33.51016,N,60,income,9,Japan,OHI
BEL,1991,33.61718,N,60,income,10,Belgium,OHI
TWN,1991,34.08805,N,60,income,10,,
ISL,1991,35.58037,N,60,income,10,Iceland,OHI
FIN,1991,36.08439,N,60,income,10,Finland,OHI
AUS,1991,36.1307,N,60,income,10,Australia,OHI
FRA,1991,36.93648,N,60,income,10,France,OHI
NOR,1991,38.45654,N,60,income,10,Norway,OHI
NLD,1991,40.51092,N,60,income,10,Netherlands,OHI
CAN,1991,42.71869,N,60,income,10,Canada,OHI
DNK,1991,43.22126,N,60,income,10,Denmark,OHI
DEU,1991,44.41286,N,60,income,10,Germany,OHI
AUT,1991,47.51577,N,60,income,10,Austria,OHI
LUX,1991,51.26812,N,60,income,10,Luxembourg,OHI
USA,1991,51.43222,N,60,income,10,United States,OHI
CHE,1991,67.46997,N,60,income,10,Switzerland,OHI
ARE,1991,131.9341,N,60,income,10,,
MMR,1991,0.8850901,N,70,consumption,1,Myanmar,EAP
GIN,1991,0.9120742,N,70,consumption,1,Guinea,SSA
CAF,1991,1.178379,N,70,consumption,1,Central African Republic,SSA
MOZ,1991,1.187701,N,70,consumption,1,Mozambique,SSA
MLI,1991,1.195492,N,70,consumption,1,Mali,SSA
SWZ,1991,1.238659,N,70,consumption,1,Eswatini,SSA
BFA,1991,1.260111,N,70,consumption,1,Burkina Faso,SSA
BDI,1991,1.524808,N,70,consumption,1,Burundi,SSA
COD,1991,1.630406,N,70,consumption,1,Congo,SSA
RWA,1991,1.68009,N,70,consumption,1,Rwanda,SSA
CHN,1991,1.698745,A,70,consumption,1,China,EAP
CHN,1991,1.698745,R,70,consumption,1,China,EAP
SLE,1991,1.73908,N,70,consumption,1,Sierra Leone,SSA
ETH,1991,1.802547,N,70,consumption,1,Ethiopia,SSA
NER,1991,1.824535,N,70,consumption,1,Niger,SSA
TZA,1991,1.844064,N,70,consumption,1,Tanzania,SSA
NPL,1991,1.850968,N,70,consumption,2,Nepal,SAS
MWI,1991,1.921634,N,70,consumption,2,Malawi,SSA
GMB,1991,1.94816,N,70,consumption,2,Gambia,SSA
SEN,1991,1.994197,N,70,consumption,2,Senegal,SSA
MDG,1991,2.072087,N,70,consumption,2,Madagascar,SSA
TCD,1991,2.081457,N,70,consumption,2,Chad,SSA
LBR,1991,2.130995,N,70,consumption,2,Liberia,SSA
PAK,1991,2.157844,N,70,consumption,2,Pakistan,SAS
IDN,1991,2.186875,A,70,consumption,2,Indonesia,EAP
IDN,1991,2.186875,R,70,consumption,2,Indonesia,EAP
IRQ,1991,2.233274,N,70,consumption,2,Iraq,MNA
PNG,1991,2.239131,N,70,consumption,2,Papua New Guinea,EAP
BEN,1991,2.255659,N,70,consumption,2,Benin,SSA
VNM,1991,2.300813,N,70,consumption,2,Vietnam,EAP
IND,1991,2.313288,A,70,consumption,2,India,SAS
IND,1991,2.313288,R,70,consumption,2,India,SAS
UGA,1991,2.580858,N,70,consumption,2,Uganda,SSA
CPV,1991,2.672193,N,70,consumption,3,Cabo Verde,SSA
NGA,1991,2.73018,N,70,consumption,3,Nigeria,SSA
SDN,1991,2.771683,N,70,consumption,3,Sudan,SSA
TGO,1991,2.79268,N,70,consumption,3,Togo,SSA
HTI,1991,2.815361,N,70,income,3,Haiti,LAC
BGD,1991,2.820742,N,70,consumption,3,Bangladesh,SAS
BTN,1991,2.85096,N,70,consumption,3,Bhutan,SAS
COG,1991,2.946801,N,70,consumption,3,Congo,SSA
GHA,1991,3.079665,N,70,consumption,3,Ghana,SSA
CHN,1991,3.104638,U,70,consumption,3,China,EAP
IDN,1991,3.149935,U,70,consumption,3,Indonesia,EAP
ZMB,1991,3.169364,N,70,consumption,3,Zambia,SSA
IND,1991,3.235128,U,70,consumption,3,India,SAS
CMR,1991,3.242984,N,70,consumption,3,Cameroon,SSA
LAO,1991,3.253551,N,70,consumption,3,Lao People's Democratic Republic,EAP
MRT,1991,3.358432,N,70,consumption,3,Mauritania,SSA
LCA,1991,3.484369,N,70,income,3,St. Lucia,LAC
SLB,1991,3.647764,N,70,consumption,4,Solomon Islands,EAP
LSO,1991,3.735383,N,70,consumption,4,Lesotho,SSA
GNB,1991,3.776377,N,70,consumption,4,Guinea-Bissau,SSA
GUY,1991,3.819816,N,70,income,4,Guyana,LAC
NAM,1991,3.867531,N,70,income,4,Namibia,SSA
HND,1991,4.289386,N,70,income,4,Honduras,LAC
UZB,1991,4.409086,N,70,consumption,4,Uzbekistan,ECA
PHL,1991,4.492911,N,70,consumption,4,Philippines,EAP
LKA,1991,4.504112,N,70,consumption,4,Sri Lanka,SAS
VUT,1991,4.531013,N,70,consumption,4,Vanuatu,EAP
EGY,1991,4.76197,N,70,consumption,4,Egypt,MNA
KEN,1991,4.819768,N,70,consumption,4,Kenya,SSA
TKM,1991,4.865399,N,70,consumption,4,Turkmenistan,ECA
AGO,1991,4.869488,N,70,consumption,4,Angola,SSA
BIH,1991,4.965347,N,70,consumption,4,Bosnia and Herzegovina,ECA
CIV,1991,4.98923,N,70,consumption,4,Cote d'Ivoire,SSA
BLZ,1991,5.219304,N,70,income,4,Belize,LAC
GTM,1991,5.394098,N,70,income,5,Guatemala,LAC
ALB,1991,5.425021,N,70,consumption,5,Albania,ECA
KIR,1991,5.578537,N,70,consumption,5,Kiribati,EAP
SYR,1991,5.671635,N,70,consumption,5,Syrian Arab Republic,MNA
YEM,1991,5.763085,N,70,consumption,5,Yemen,MNA
NIC,1991,5.796296,N,70,consumption,5,Nicaragua,LAC
BWA,1991,5.822529,N,70,consumption,5,Botswana,SSA
MNG,1991,5.94569,N,70,consumption,5,Mongolia,EAP
COM,1991,6.215782,N,70,consumption,5,Comoros,SSA
BOL,1991,6.235261,N,70,income,5,Bolivia,LAC
DJI,1991,6.435626,N,70,consumption,5,Djibouti,MNA
TUV,1991,6.514523,N,70,consumption,5,Tuvalu,EAP
MUS,1991,6.51729,N,70,consumption,5,Mauritius,SSA
ZAF,1991,6.536659,N,70,consumption,5,South Africa,SSA
DZA,1991,6.572549,N,70,consumption,5,Algeria,MNA
TUN,1991,6.60698,N,70,consumption,5,Tunisia,MNA
THA,1991,6.65608,N,70,consumption,6,Thailand,EAP
ECU,1991,6.723721,N,70,income,6,Ecuador,LAC
ZWE,1991,6.724055,N,70,consumption,6,Zimbabwe,SSA
FSM,1991,6.79891,N,70,consumption,6,Micronesia,EAP
SLV,1991,6.917948,N,70,income,6,El Salvador,LAC
DOM,1991,7.015968,N,70,income,6,Dominican Republic,LAC
WSM,1991,7.061637,N,70,consumption,6,Samoa,EAP
FJI,1991,7.085984,N,70,consumption,6,Fiji,EAP
TJK,1991,7.335046,N,70,consumption,6,Tajikistan,ECA
SUR,1991,7.387081,N,70,income,6,Suriname,LAC
MKD,1991,7.666339,N,70,consumption,6,North Macedonia,ECA
KAZ,1991,7.678967,N,70,income,6,Kazakhstan,ECA
KGZ,1991,7.803192,N,70,consumption,6,Kyrgyz Republic,ECA
PSE,1991,8.055357,N,70,consumption,6,West Bank and Gaza,MNA
LTU,1991,8.240206,N,70,income,6,Lithuania,ECA
JAM,1991,8.387579,N,70,consumption,6,Jamaica,LAC
JOR,1991,8.392661,N,70,consumption,6,Jordan,MNA
BLR,1991,8.443336,N,70,income,7,Belarus,ECA
BRA,1991,8.519263,N,70,income,7,Brazil,LAC
GAB,1991,8.553823,N,70,consumption,7,Gabon,SSA
ARM,1991,8.596802,N,70,income,7,Armenia,ECA
MAR,1991,8.696337,N,70,consumption,7,Morocco,MNA
COL,1991,8.874444,N,70,income,7,Colombia,LAC
TON,1991,9.140321,N,70,consumption,7,Tonga,EAP
UKR,1991,9.206783,N,70,consumption,7,Ukraine,ECA
CRI,1991,9.267232,N,70,income,7,Costa Rica,LAC
IRN,1991,9.27285,N,70,consumption,7,Iran,MNA
TUR,1991,10.27779,N,70,consumption,7,Turkey,ECA
CHL,1991,10.2903,N,70,income,7,Chile,LAC
PAN,1991,10.35162,N,70,income,7,Panama,LAC
MEX,1991,10.36471,N,70,consumption,7,Mexico,LAC
MDA,1991,10.9626,N,70,consumption,7,Moldova,ECA
PER,1991,11.31778,N,70,consumption,7,Peru,LAC
RUS,1991,12.71751,N,70,consumption,7,Russian Federation,ECA
MYS,1991,12.97082,N,70,income,8,Malaysia,EAP
ROU,1991,13.48587,N,70,income,8,Romania,ECA
VEN,1991,13.77594,N,70,income,8,Venezuela,LAC
LVA,1991,14.5748,N,70,income,8,Latvia,ECA
SYC,1991,14.92473,N,70,consumption,8,Seychelles,SSA
EST,1991,14.93575,N,70,income,8,Estonia,ECA
LBN,1991,15.01002,N,70,consumption,8,Lebanon,MNA
PRY,1991,15.71852,N,70,income,8,Paraguay,LAC
CZE,1991,15.88571,N,70,income,8,Czech Republic,ECA
AZE,1991,16.0499,N,70,consumption,8,Azerbaijan,ECA
HRV,1991,16.08649,N,70,income,8,Croatia,ECA
ARG,1991,16.17644,U,70,income,8,Argentina,LAC
TTO,1991,16.42516,N,70,income,8,Trinidad and Tobago,LAC
BGR,1991,17.22534,N,70,consumption,8,Bulgaria,ECA
SVK,1991,17.95862,N,70,income,8,Slovak Republic,ECA
POL,1991,18.35161,N,70,income,8,Poland,ECA
MNE,1991,19.21961,N,70,consumption,8,Montenegro,ECA
HUN,1991,20.21394,N,70,income,9,Hungary,ECA
URY,1991,20.22259,N,70,income,9,Uruguay,LAC
GEO,1991,20.72472,N,70,consumption,9,Georgia,ECA
KOR,1991,21.93795,N,70,income,9,Korea,OHI
SRB,1991,22.24908,N,70,consumption,9,Serbia,ECA
PRT,1991,22.33028,N,70,income,9,Portugal,OHI
MLT,1991,23.06884,N,70,income,9,Malta,OHI
SVN,1991,24.47583,N,70,income,9,Slovenia,ECA
ISR,1991,25.62756,N,70,income,9,Israel,OHI
CYP,1991,25.99032,N,70,income,9,Cyprus,OHI
GRC,1991,26.40195,N,70,income,9,Greece,OHI
IRL,1991,27.23569,N,70,income,9,Ireland,OHI
ESP,1991,29.56838,N,70,income,9,Spain,OHI
GBR,1991,35.22156,N,70,income,9,United Kingdom,OHI
SWE,1991,36.39541,N,70,income,9,Sweden,OHI
BEL,1991,37.7695,N,70,income,9,Belgium,OHI
ITA,1991,38.34956,N,70,income,9,Italy,OHI
JPN,1991,38.89778,N,70,income,10,Japan,OHI
TWN,1991,39.21659,N,70,income,10,,
ISL,1991,39.87875,N,70,income,10,Iceland,OHI
FIN,1991,40.47441,N,70,income,10,Finland,OHI
AUS,1991,42.62919,N,70,income,10,Australia,OHI
FRA,1991,42.72764,N,70,income,10,France,OHI
NOR,1991,43.40322,N,70,income,10,Norway,OHI
NLD,1991,47.39913,N,70,income,10,Netherlands,OHI
DNK,1991,48.70384,N,70,income,10,Denmark,OHI
CAN,1991,49.6812,N,70,income,10,Canada,OHI
DEU,1991,51.40896,N,70,income,10,Germany,OHI
AUT,1991,52.45423,N,70,income,10,Austria,OHI
LUX,1991,57.96518,N,70,income,10,Luxembourg,OHI
USA,1991,61.30747,N,70,income,10,United States,OHI
CHE,1991,81.00194,N,70,income,10,Switzerland,OHI
ARE,1991,156.3312,N,70,income,10,,
MMR,1991,1.081149,N,80,consumption,1,Myanmar,EAP
GIN,1991,1.20125,N,80,consumption,1,Guinea,SSA
MLI,1991,1.619912,N,80,consumption,1,Mali,SSA
MOZ,1991,1.642079,N,80,consumption,1,Mozambique,SSA
BFA,1991,1.684035,N,80,consumption,1,Burkina Faso,SSA
SWZ,1991,1.696532,N,80,consumption,1,Eswatini,SSA
CAF,1991,1.738998,N,80,consumption,1,Central African Republic,SSA
BDI,1991,1.840533,N,80,consumption,1,Burundi,SSA
CHN,1991,1.981562,A,80,consumption,1,China,EAP
CHN,1991,1.981562,R,80,consumption,1,China,EAP
COD,1991,2.091797,N,80,consumption,1,Congo,SSA
RWA,1991,2.131717,N,80,consumption,1,Rwanda,SSA
NER,1991,2.202138,N,80,consumption,1,Niger,SSA
NPL,1991,2.258585,N,80,consumption,1,Nepal,SAS
ETH,1991,2.287763,N,80,consumption,1,Ethiopia,SSA
TZA,1991,2.325483,N,80,consumption,1,Tanzania,SSA
MWI,1991,2.424325,N,80,consumption,2,Malawi,SSA
GMB,1991,2.533513,N,80,consumption,2,Gambia,SSA
IDN,1991,2.536567,A,80,consumption,2,Indonesia,EAP
IDN,1991,2.536567,R,80,consumption,2,Indonesia,EAP
SLE,1991,2.541489,N,80,consumption,2,Sierra Leone,SSA
TCD,1991,2.592602,N,80,consumption,2,Chad,SSA
PAK,1991,2.609012,N,80,consumption,2,Pakistan,SAS
IRQ,1991,2.623103,N,80,consumption,2,Iraq,MNA
LBR,1991,2.646568,N,80,consumption,2,Liberia,SSA
MDG,1991,2.678486,N,80,consumption,2,Madagascar,SSA
IND,1991,2.689944,A,80,consumption,2,India,SAS
IND,1991,2.689944,R,80,consumption,2,India,SAS
SEN,1991,2.704414,N,80,consumption,2,Senegal,SSA
BEN,1991,2.83194,N,80,consumption,2,Benin,SSA
PNG,1991,2.886855,N,80,consumption,2,Papua New Guinea,EAP
VNM,1991,2.924025,N,80,consumption,2,Vietnam,EAP
BGD,1991,3.294119,N,80,consumption,2,Bangladesh,SAS
UGA,1991,3.311277,N,80,consumption,3,Uganda,SSA
SDN,1991,3.378307,N,80,consumption,3,Sudan,SSA
NGA,1991,3.45109,N,80,consumption,3,Nigeria,SSA
BTN,1991,3.572682,N,80,consumption,3,Bhutan,SAS
CHN,1991,3.576092,U,80,consumption,3,China,EAP
CPV,1991,3.584229,N,80,consumption,3,Cabo Verde,SSA
TGO,1991,3.732094,N,80,consumption,3,Togo,SSA
GHA,1991,3.745649,N,80,consumption,3,Ghana,SSA
IDN,1991,3.838756,U,80,consumption,3,Indonesia,EAP
COG,1991,3.859116,N,80,consumption,3,Congo,SSA
IND,1991,3.940753,U,80,consumption,3,India,SAS
HTI,1991,3.965706,N,80,income,3,Haiti,LAC
LAO,1991,4.035416,N,80,consumption,3,Lao People's Democratic Republic,EAP
MRT,1991,4.266138,N,80,consumption,3,Mauritania,SSA
CMR,1991,4.345604,N,80,consumption,3,Cameroon,SSA
LCA,1991,4.387081,N,80,income,3,St. Lucia,LAC
ZMB,1991,4.524268,N,80,consumption,3,Zambia,SSA
GUY,1991,4.768716,N,80,income,4,Guyana,LAC
SLB,1991,4.841993,N,80,consumption,4,Solomon Islands,EAP
GNB,1991,5.078204,N,80,consumption,4,Guinea-Bissau,SSA
LSO,1991,5.163281,N,80,consumption,4,Lesotho,SSA
LKA,1991,5.370477,N,80,consumption,4,Sri Lanka,SAS
UZB,1991,5.560368,N,80,consumption,4,Uzbekistan,ECA
EGY,1991,5.676028,N,80,consumption,4,Egypt,MNA
VUT,1991,5.702586,N,80,consumption,4,Vanuatu,EAP
HND,1991,5.719182,N,80,income,4,Honduras,LAC
BIH,1991,5.798976,N,80,consumption,4,Bosnia and Herzegovina,ECA
PHL,1991,5.815002,N,80,consumption,4,Philippines,EAP
TKM,1991,6.137981,N,80,consumption,4,Turkmenistan,ECA
CIV,1991,6.155696,N,80,consumption,4,Cote d'Ivoire,SSA
ALB,1991,6.304091,N,80,consumption,4,Albania,ECA
NAM,1991,6.35103,N,80,income,4,Namibia,SSA
AGO,1991,6.400272,N,80,consumption,4,Angola,SSA
KEN,1991,6.455668,N,80,consumption,4,Kenya,SSA
KIR,1991,6.54332,N,80,consumption,5,Kiribati,EAP
BLZ,1991,7.008973,N,80,income,5,Belize,LAC
YEM,1991,7.084246,N,80,consumption,5,Yemen,MNA
SYR,1991,7.094602,N,80,consumption,5,Syrian Arab Republic,MNA
MNG,1991,7.209154,N,80,consumption,5,Mongolia,EAP
GTM,1991,7.541813,N,80,income,5,Guatemala,LAC
NIC,1991,7.589974,N,80,consumption,5,Nicaragua,LAC
BWA,1991,7.964965,N,80,consumption,5,Botswana,SSA
MUS,1991,8.000981,N,80,consumption,5,Mauritius,SSA
DZA,1991,8.020177,N,80,consumption,5,Algeria,MNA
DJI,1991,8.059875,N,80,consumption,5,Djibouti,MNA
COM,1991,8.089741,N,80,consumption,5,Comoros,SSA
TUN,1991,8.188194,N,80,consumption,5,Tunisia,MNA
BOL,1991,8.255197,N,80,income,5,Bolivia,LAC
TUV,1991,8.330541,N,80,consumption,5,Tuvalu,EAP
FSM,1991,8.594254,N,80,consumption,5,Micronesia,EAP
ZWE,1991,8.639144,N,80,consumption,6,Zimbabwe,SSA
TJK,1991,8.691345,N,80,consumption,6,Tajikistan,ECA
MKD,1991,8.882797,N,80,consumption,6,North Macedonia,ECA
THA,1991,8.911644,N,80,consumption,6,Thailand,EAP
FJI,1991,8.953238,N,80,consumption,6,Fiji,EAP
WSM,1991,8.95538,N,80,consumption,6,Samoa,EAP
ECU,1991,9.014139,N,80,income,6,Ecuador,LAC
KAZ,1991,9.222328,N,80,income,6,Kazakhstan,ECA
DOM,1991,9.268649,N,80,income,6,Dominican Republic,LAC
SLV,1991,9.458345,N,80,income,6,El Salvador,LAC
BLR,1991,9.48744,N,80,income,6,Belarus,ECA
LTU,1991,9.75994,N,80,income,6,Lithuania,ECA
PSE,1991,9.776627,N,80,consumption,6,West Bank and Gaza,MNA
ZAF,1991,9.914616,N,80,consumption,6,South Africa,SSA
KGZ,1991,10.0513,N,80,consumption,6,Kyrgyz Republic,ECA
SUR,1991,10.06846,N,80,income,6,Suriname,LAC
JOR,1991,10.37826,N,80,consumption,6,Jordan,MNA
JAM,1991,10.66014,N,80,consumption,7,Jamaica,LAC
GAB,1991,10.73761,N,80,consumption,7,Gabon,SSA
UKR,1991,10.76832,N,80,consumption,7,Ukraine,ECA
MAR,1991,10.9404,N,80,consumption,7,Morocco,MNA
ARM,1991,10.96682,N,80,income,7,Armenia,ECA
TON,1991,11.41949,N,80,consumption,7,Tonga,EAP
IRN,1991,11.78564,N,80,consumption,7,Iran,MNA
CRI,1991,11.82431,N,80,income,7,Costa Rica,LAC
COL,1991,12.19718,N,80,income,7,Colombia,LAC
BRA,1991,12.50208,N,80,income,7,Brazil,LAC
TUR,1991,12.91069,N,80,consumption,7,Turkey,ECA
MDA,1991,13.55393,N,80,consumption,7,Moldova,ECA
MEX,1991,13.76402,N,80,consumption,7,Mexico,LAC
CHL,1991,14.38083,N,80,income,7,Chile,LAC
PAN,1991,14.49227,N,80,income,7,Panama,LAC
PER,1991,14.81943,N,80,consumption,7,Peru,LAC
ROU,1991,15.27879,N,80,income,7,Romania,ECA
RUS,1991,16.24433,N,80,consumption,8,Russian Federation,ECA
MYS,1991,16.76159,N,80,income,8,Malaysia,EAP
LVA,1991,17.09599,N,80,income,8,Latvia,ECA
VEN,1991,17.33712,N,80,income,8,Venezuela,LAC
CZE,1991,17.67754,N,80,income,8,Czech Republic,ECA
HRV,1991,18.12338,N,80,income,8,Croatia,ECA
LBN,1991,18.27638,N,80,consumption,8,Lebanon,MNA
EST,1991,18.36409,N,80,income,8,Estonia,ECA
SYC,1991,18.55266,N,80,consumption,8,Seychelles,SSA
AZE,1991,19.34451,N,80,consumption,8,Azerbaijan,ECA
BGR,1991,19.63613,N,80,consumption,8,Bulgaria,ECA
SVK,1991,19.77708,N,80,income,8,Slovak Republic,ECA
PRY,1991,20.35319,N,80,income,8,Paraguay,LAC
TTO,1991,20.99633,N,80,income,8,Trinidad and Tobago,LAC
POL,1991,21.18552,N,80,income,8,Poland,ECA
ARG,1991,21.56858,U,80,income,8,Argentina,LAC
MNE,1991,22.97387,N,80,consumption,8,Montenegro,ECA
HUN,1991,23.58102,N,80,income,9,Hungary,ECA
GEO,1991,25.27948,N,80,consumption,9,Georgia,ECA
URY,1991,25.34163,N,80,income,9,Uruguay,LAC
KOR,1991,25.80128,N,80,income,9,Korea,OHI
SRB,1991,26.16456,N,80,consumption,9,Serbia,ECA
MLT,1991,26.62621,N,80,income,9,Malta,OHI
SVN,1991,27.79069,N,80,income,9,Slovenia,ECA
PRT,1991,27.89357,N,80,income,9,Portugal,OHI
CYP,1991,30.57796,N,80,income,9,Cyprus,OHI
ISR,1991,31.26657,N,80,income,9,Israel,OHI
GRC,1991,32.04741,N,80,income,9,Greece,OHI
IRL,1991,33.31152,N,80,income,9,Ireland,OHI
ESP,1991,35.09051,N,80,income,9,Spain,OHI
SWE,1991,41.56798,N,80,income,9,Sweden,OHI
GBR,1991,43.32495,N,80,income,9,United Kingdom,OHI
BEL,1991,43.92909,N,80,income,9,Belgium,OHI
ITA,1991,45.57415,N,80,income,9,Italy,OHI
ISL,1991,46.00431,N,80,income,10,Iceland,OHI
JPN,1991,46.09021,N,80,income,10,Japan,OHI
FIN,1991,46.21278,N,80,income,10,Finland,OHI
TWN,1991,46.6339,N,80,income,10,,
NOR,1991,49.83619,N,80,income,10,Norway,OHI
FRA,1991,50.71575,N,80,income,10,France,OHI
AUS,1991,51.9939,N,80,income,10,Australia,OHI
DNK,1991,55.98974,N,80,income,10,Denmark,OHI
NLD,1991,57.79452,N,80,income,10,Netherlands,OHI
CAN,1991,58.94225,N,80,income,10,Canada,OHI
AUT,1991,59.44397,N,80,income,10,Austria,OHI
DEU,1991,60.71607,N,80,income,10,Germany,OHI
LUX,1991,67.09791,N,80,income,10,Luxembourg,OHI
USA,1991,75.48569,N,80,income,10,United States,OHI
CHE,1991,99.12296,N,80,income,10,Switzerland,OHI
ARE,1991,187.1347,N,80,income,10,,
MMR,1991,1.406661,N,90,consumption,1,Myanmar,EAP
GIN,1991,1.735294,N,90,consumption,1,Guinea,SSA
BDI,1991,2.455302,N,90,consumption,1,Burundi,SSA
MLI,1991,2.531115,N,90,consumption,1,Mali,SSA
CHN,1991,2.532828,A,90,consumption,1,China,EAP
CHN,1991,2.532828,R,90,consumption,1,China,EAP
MOZ,1991,2.661373,N,90,consumption,1,Mozambique,SSA
BFA,1991,2.662316,N,90,consumption,1,Burkina Faso,SSA
SWZ,1991,2.679509,N,90,consumption,1,Eswatini,SSA
NER,1991,2.92349,N,90,consumption,1,Niger,SSA
CAF,1991,2.99651,N,90,consumption,1,Central African Republic,SSA
COD,1991,3.019368,N,90,consumption,1,Congo,SSA
NPL,1991,3.080583,N,90,consumption,1,Nepal,SAS
TZA,1991,3.141055,N,90,consumption,1,Tanzania,SSA
ETH,1991,3.162189,N,90,consumption,1,Ethiopia,SSA
IDN,1991,3.205897,A,90,consumption,1,Indonesia,EAP
IDN,1991,3.205897,R,90,consumption,2,Indonesia,EAP
RWA,1991,3.296663,N,90,consumption,2,Rwanda,SSA
IRQ,1991,3.366398,N,90,consumption,2,Iraq,MNA
PAK,1991,3.454002,N,90,consumption,2,Pakistan,SAS
IND,1991,3.470329,A,90,consumption,2,India,SAS
IND,1991,3.470329,R,90,consumption,2,India,SAS
LBR,1991,3.477304,N,90,consumption,2,Liberia,SSA
TCD,1991,3.569398,N,90,consumption,2,Chad,SSA
MWI,1991,3.606693,N,90,consumption,2,Malawi,SSA
GMB,1991,3.886172,N,90,consumption,2,Gambia,SSA
SLE,1991,3.9227,N,90,consumption,2,Sierra Leone,SSA
MDG,1991,3.924776,N,90,consumption,2,Madagascar,SSA
BEN,1991,4.014511,N,90,consumption,2,Benin,SSA
VNM,1991,4.031641,N,90,consumption,2,Vietnam,EAP
SEN,1991,4.207879,N,90,consumption,2,Senegal,SSA
BGD,1991,4.216951,N,90,consumption,2,Bangladesh,SAS
SDN,1991,4.436517,N,90,consumption,2,Sudan,SSA
CHN,1991,4.43756,U,90,consumption,3,China,EAP
PNG,1991,4.654365,N,90,consumption,3,Papua New Guinea,EAP
UGA,1991,4.780414,N,90,consumption,3,Uganda,SSA
NGA,1991,4.801816,N,90,consumption,3,Nigeria,SSA
GHA,1991,5.047506,N,90,consumption,3,Ghana,SSA
BTN,1991,5.109461,N,90,consumption,3,Bhutan,SAS
IDN,1991,5.205,U,90,consumption,3,Indonesia,EAP
IND,1991,5.353624,U,90,consumption,3,India,SAS
LAO,1991,5.356893,N,90,consumption,3,Lao People's Democratic Republic,EAP
TGO,1991,5.455644,N,90,consumption,3,Togo,SSA
CPV,1991,5.921427,N,90,consumption,3,Cabo Verde,SSA
COG,1991,5.975722,N,90,consumption,3,Congo,SSA
MRT,1991,6.037596,N,90,consumption,3,Mauritania,SSA
LCA,1991,6.183741,N,90,income,3,St. Lucia,LAC
GUY,1991,6.561434,N,90,income,3,Guyana,LAC
CMR,1991,6.739745,N,90,consumption,3,Cameroon,SSA
HTI,1991,6.952902,N,90,income,3,Haiti,LAC
ZMB,1991,6.971371,N,90,consumption,4,Zambia,SSA
BIH,1991,7.102089,N,90,consumption,4,Bosnia and Herzegovina,ECA
LKA,1991,7.167758,N,90,consumption,4,Sri Lanka,SAS
SLB,1991,7.211798,N,90,consumption,4,Solomon Islands,EAP
EGY,1991,7.482445,N,90,consumption,4,Egypt,MNA
VUT,1991,7.71846,N,90,consumption,4,Vanuatu,EAP
ALB,1991,7.768901,N,90,consumption,4,Albania,ECA
UZB,1991,7.801203,N,90,consumption,4,Uzbekistan,ECA
CIV,1991,8.181349,N,90,consumption,4,Cote d'Ivoire,SSA
LSO,1991,8.207534,N,90,consumption,4,Lesotho,SSA
PHL,1991,8.555298,N,90,consumption,4,Philippines,EAP
TKM,1991,8.695535,N,90,consumption,4,Turkmenistan,ECA
KIR,1991,8.878102,N,90,consumption,4,Kiribati,EAP
HND,1991,9.120874,N,90,income,4,Honduras,LAC
YEM,1991,9.366103,N,90,consumption,4,Yemen,MNA
MNG,1991,9.533565,N,90,consumption,4,Mongolia,EAP
AGO,1991,9.610764,N,90,consumption,5,Angola,SSA
SYR,1991,9.749912,N,90,consumption,5,Syrian Arab Republic,MNA
KEN,1991,9.796702,N,90,consumption,5,Kenya,SSA
DZA,1991,10.88211,N,90,consumption,5,Algeria,MNA
MUS,1991,10.98757,N,90,consumption,5,Mauritius,SSA
NIC,1991,11.01515,N,90,consumption,5,Nicaragua,LAC
TUN,1991,11.08264,N,90,consumption,5,Tunisia,MNA
TJK,1991,11.08376,N,90,consumption,5,Tajikistan,ECA
MKD,1991,11.12465,N,90,consumption,5,North Macedonia,ECA
DJI,1991,11.17922,N,90,consumption,5,Djibouti,MNA
BLZ,1991,11.28318,N,90,income,5,Belize,LAC
BLR,1991,11.41847,N,90,income,5,Belarus,ECA
TUV,1991,11.49199,N,90,consumption,5,Tuvalu,EAP
KAZ,1991,12.10631,N,90,income,5,Kazakhstan,ECA
GTM,1991,12.12801,N,90,income,5,Guatemala,LAC
BWA,1991,12.55097,N,90,consumption,5,Botswana,SSA
ZWE,1991,12.56177,N,90,consumption,5,Zimbabwe,SSA
FJI,1991,12.57854,N,90,consumption,6,Fiji,EAP
BOL,1991,12.59964,N,90,income,6,Bolivia,LAC
FSM,1991,12.64929,N,90,consumption,6,Micronesia,EAP
LTU,1991,12.73678,N,90,income,6,Lithuania,ECA
PSE,1991,12.80805,N,90,consumption,6,West Bank and Gaza,MNA
NAM,1991,12.90713,N,90,income,6,Namibia,SSA
WSM,1991,12.93586,N,90,consumption,6,Samoa,EAP
COM,1991,13.11217,N,90,consumption,6,Comoros,SSA
UKR,1991,13.44917,N,90,consumption,6,Ukraine,ECA
THA,1991,13.4996,N,90,consumption,6,Thailand,EAP
DOM,1991,13.95411,N,90,income,6,Dominican Republic,LAC
KGZ,1991,13.96858,N,90,consumption,6,Kyrgyz Republic,ECA
ECU,1991,14.2134,N,90,income,6,Ecuador,LAC
